"decimal_lat","decimal_lon","region","ecosection_nm"
49.2409833333333,-122.808652777778,"FRL","Fraser Lowland"
49.1839638888889,-122.752047222222,"FRL","Fraser Lowland"
49.183875,-122.761488888889,"FRL","Fraser Lowland"
49.0162277777778,-122.290086111111,"FRL","Fraser Lowland"
49.0530722222222,-122.351844444444,"FRL","Fraser Lowland"
49.0929305555556,-122.790141666667,"FRL","Fraser Lowland"
49.2539083333333,-123.196194444444,"FRL","Fraser Lowland"
49.0172055555556,-122.664141666667,"FRL","Fraser Lowland"
49.0163972222222,-123.041605555556,"FRL","Fraser Lowland"
49.0093027777778,-122.451683333333,"FRL","Fraser Lowland"
49.0176388888889,-122.66305,"FRL","Fraser Lowland"
49.1750055555556,-122.579508333333,"FRL","Fraser Lowland"
49.2717888888889,-123.255925,"FRL","Fraser Lowland"
49.4364888888889,-122.974058333333,"SPR","Southern Pacific Ranges"
49.0095194444444,-122.45035,"FRL","Fraser Lowland"
49.0805666666667,-122.936961111111,"FRL","Fraser Lowland"
49.0173527777778,-120.050111111111,"OKR","Okanagan Range"
49.0173666666667,-123.054569444444,"FRL","Fraser Lowland"
49.0151944444444,-123.040761111111,"FRL","Fraser Lowland"
49.2384611111111,-122.797905555556,"FRL","Fraser Lowland"
49.3815222222222,-122.997822222222,"SPR","Southern Pacific Ranges"
49.2377388888889,-123.126311111111,"FRL","Fraser Lowland"
49.2388361111111,-123.127272222222,"FRL","Fraser Lowland"
49.2535361111111,-123.196258333333,"FRL","Fraser Lowland"
48.445815,-123.354109,"SGI","Southern Gulf Islands"
48.3836166666667,-123.505808333333,"LIM","Leeward Island Mountains"
44.3908611111111,-123.300055555556,"USA","United States"
48.8341277777778,-123.317288888889,"SGI","Southern Gulf Islands"
49.1280111111111,-122.2219,"FRL","Fraser Lowland"
49.2404722222222,-122.811369444444,"FRL","Fraser Lowland"
49.0793083333333,-122.442622222222,"FRL","Fraser Lowland"
49.0090416666667,-122.451677777778,"FRL","Fraser Lowland"
49.0139833333333,-123.046666666667,"FRL","Fraser Lowland"
49.113875,-122.229597222222,"FRL","Fraser Lowland"
49.2616722222222,-122.701983333333,"FRL","Fraser Lowland"
49.071475,-123.118072222222,"FRL","Fraser Lowland"
49.0809944444444,-122.271636111111,"FRL","Fraser Lowland"
49.1465111111111,-122.579566666667,"FRL","Fraser Lowland"
49.0861944444444,-122.976727777778,"FRL","Fraser Lowland"
49.2319861111111,-122.658536111111,"FRL","Fraser Lowland"
49.0183111111111,-122.238552777778,"FRL","Fraser Lowland"
49.0118833333333,-122.346202777778,"FRL","Fraser Lowland"
49.1902527777778,-123.086788888889,"FRL","Fraser Lowland"
49.2845277777778,-122.708741666667,"FRL","Fraser Lowland"
44.404507,-123.34627,"USA","United States"
44.097672,-122.99339,"USA","United States"
44.419072,-123.33003,"USA","United States"
44.028456,-123.17364,"USA","United States"
44.77879,-122.74432,"USA","United States"
44.785633,-123.02541,"USA","United States"
45.601305,-122.39864,"USA","United States"
43.317563,-123.25108,"USA","United States"
46.906645,-123.04968,"USA","United States"
45.641993,-122.45951,"USA","United States"
49.3279111111111,-122.949230555556,"SPR","Southern Pacific Ranges"
49.328125,-123.036255555556,"SPR","Southern Pacific Ranges"
49.0956416666667,-122.795308333333,"FRL","Fraser Lowland"
49.2531888888889,-122.711927777778,"FRL","Fraser Lowland"
49.0984611111111,-122.304111111111,"FRL","Fraser Lowland"
49.1311472222222,-122.258883333333,"FRL","Fraser Lowland"
52.149236,-128.008884,"HEL","Hecate Lowland"
52.205749,-127.886886,"HEL","Hecate Lowland"
49.0769416666667,-123.387908333333,"SGI","Southern Gulf Islands"
43.329968,-123.33706,"USA","United States"
49.2283861111111,-122.748588888889,"FRL","Fraser Lowland"
49.2393888888889,-122.697180555556,"FRL","Fraser Lowland"
52.177899,-127.982037,"HEL","Hecate Lowland"
52.280502,-128.022164,"HEL","Hecate Lowland"
42.4543611111111,-122.950277777778,"USA","United States"
46.91995,-122.8579,"USA","United States"
