bee_sp,bee_common,name_change,picture_address,original_file_name,content_creator,license,license_link,Wikipedia,Canada_bee,Wikipedia_common,Canada_bee_common
"Ceratina
acantha",Small carpenter bees,,Ceratina_sp.JPG,"""File:Ceratina WG.jpg""",L. Shyamal,CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0,https://en.wikipedia.org/wiki/Ceratina_acantha,"http://www.beesofcanada.com/species/ceratina-acantha-provancher,-1895",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-acantha-provancher,-1895"
"Ceratina
micheneri",Small carpenter bees,,Ceratina_sp.JPG,"""File:Ceratina WG.jpg""",L. Shyamal,CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0,https://en.wikipedia.org/wiki/Ceratina_micheneri,"http://www.beesofcanada.com/species/ceratina-micheneri-daly,-1973",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-micheneri-daly,-1973"
"Ceratina
nanula",Small carpenter bees,,Ceratina_nanula.JPG,"""Ceratina nanula""",No creator given,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Ceratina_nanula,"http://www.beesofcanada.com/species/ceratina-nanula-cockerell,-1897",https://en.wikipedia.org/wiki/Ceratina,"http://www.beesofcanada.com/species/ceratina-nanula-cockerell,-1897"
"Ceratina
pacifica",Small carpenter bees,,Ceratina_sp.JPG,"""File:Ceratina WG.jpg""",L. Shyamal,CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0,https://en.wikipedia.org/wiki/Ceratina_pacifica,http://www.beesofcanada.com/species/ceratina-pacifica,https://en.wikipedia.org/wiki/Ceratina,http://www.beesofcanada.com/species/ceratina-pacifica
"Cheilosia
rita",Hoverfly,,Cheilosia_sp.JPG,"""Cheilosia impressa, Jansbach bei Rocherath, Ostbelgien""",Frank.Vassen,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Cheilosia_rita,N/A,https://en.wikipedia.org/wiki/Cheilosia,N/A
"Chrysotoxum
fasciatus",Coloured hoverfly,Chrysotoxum fasciatum,Chrysotoxum_sp.JPG,"""Chrysotoxum verralli""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Chrysotoxum_fasciatum,N/A,https://en.wikipedia.org/wiki/Chrysotoxum,N/A
"Coelioxys
rufitarsis",Leafcutter cuckoo bees,,Coelioxys_rufitarsis.JPG,"""Coelioxys rufitarsis, F, Side, NY, Elk Lake_2014-09-04-16.01.29 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Coelioxys_rufitarsis,"http://www.beesofcanada.com/species/coelioxys-rufitarsis-smith,-1854",https://en.wikipedia.org/wiki/Coelioxys,"http://www.beesofcanada.com/species/coelioxys-rufitarsis-smith,-1854"
"Colletes
consors",Plasterer bees,,Colletes_sp.JPG,"""Plasterer Bee . Colletes sp. face""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Colletes_consors,"http://www.beesofcanada.com/species/colletes-consors-mesocopus-swenk,-1907",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-consors-mesocopus-swenk,-1907"
"Colletes
fulgidus",Plasterer bees,,Colletes_sp.JPG,"""Plasterer Bee . Colletes sp. face""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Colletes_fulgidus,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-fulgidus-fulgidus-swenk,-1904"
"Colletes
kincaidii",Plasterer bees,,Colletes_kincaidii.JPG,"""Colletes kincaidii, f, right, Grant Co., Hyannis, NE_2018-08-10-15.59.54 ZS PMax UDR""",YellowstoneNPS,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Colletes_kincaidii,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898",https://en.wikipedia.org/wiki/Colletes,"http://www.beesofcanada.com/species/colletes-kincaidii-cockerell,-1898"
"Conophorus
columbiensis",Lesser bee flies,,Conophorus_sp.JPG,"""Conophorus virescens""",jacilluch,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0/,https://en.wikipedia.org/wiki/Conophorus_columbiensis,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A
"Conophorus
sackenii",Lesser bee flies,,Conophorus_sp.JPG,"""Conophorus virescens""",jacilluch,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Conophorus_sackenii,N/A,https://en.wikipedia.org/wiki/Conophorus,N/A
"Cortodera
subpilosa",Longhorn beetle,,Cortodera_sp.JPG,"""File:Cortodera flavimana 11.jpg""",Milan Đurić,CC BY-SA 4.0.,https://creativecommons.org/licenses/by-sa/4.0,https://en.wikipedia.org/wiki/Cortodera_subpilosa,N/A,https://en.wikipedia.org/wiki/Cortodera,N/A
"Dianthidium
subparvum",Resin bee,,Dianthidium_sp.JPG,"""Dianthidium-simile,-female,-side_2012-06-27-17.03.28-ZS-PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Dianthidium_subparvum,http://www.beesofcanada.com/species/dianthidium-subparvum,https://en.wikipedia.org/wiki/Dianthidium,http://www.beesofcanada.com/species/dianthidium-subparvum
"Dolichovespula
arenaria",Yellowjackets,,Dolichovespula_arenaria.JPG,"""Dolichovespula arenaria""",Gilles Gonthier,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Dolichovespula_arenaria,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A
"Dolichovespula
maculata",Yellowjackets,,Dolichovespula_maculata.JPG,"""Baldfaced Hornet - Dolichovespula maculata""",Slomoz,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0/,https://en.wikipedia.org/wiki/Bald-faced_hornet,N/A,https://en.wikipedia.org/wiki/Yellowjacket,N/A
"Dufourea
trochantera",Sweat bees,,Dufourea_sp.JPG,"""Dufourea""", aspidoscelis,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Dufourea_trochantera,http://www.beesofcanada.com/species/dufourea-trochantera,https://en.wikipedia.org/wiki/Dufourea,http://www.beesofcanada.com/species/dufourea-trochantera
"Epalpus
signifer",Tachinid flies,,Epalpus_signifer.JPG,"""File:Tachinid - Epalpus signifer, Woodbridge, Virginia.jpg""",Judy Gallagher,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Epalpus_signifer,N/A,https://en.wikipedia.org/wiki/Epalpus,N/A
"Epeolus
minimus",Variegated cuckoo-bees,,Epeolus_minimus.JPG,"""Epeolus minimus, F, LSide, Co., SD_2013-11-20-16.40.48 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Epeolus_minimus,http://www.beesofcanada.com/species/epeolus-minimus,https://en.wikipedia.org/wiki/Epeolus,http://www.beesofcanada.com/species/epeolus-minimus
"Eriozona
erraticus",Hoverflies,Megasyrphus erraticus,Megasyrphus_erraticus.JPG,"""Megasyrphus erraticus (male)""",S. Rae,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Megasyrphus_erraticus,N/A,https://en.wikipedia.org/wiki/Megasyrphus,N/A
"Eristalis
anthophorinus",Droneflies,Eristalis anthophorina,Eristalis_tenax.JPG,"""Drone-fly (Eristalis tenax)""",Peter O'Connor aka anemoneprojectors,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Eristalis_anthophorina,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
arbustorum",Droneflies,,Eristalis_arbustorum.JPG,"""Eristalis arbustorum ♂, Parc de Woluwé, Bruxelles""",Frank.Vassen,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eristalis_arbustorum,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
brousii",Droneflies,,Eristalis_tenax.JPG,"""Drone-fly (Eristalis tenax)""",Peter O'Connor aka anemoneprojectors,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Eristalis_brousii,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
dimidiatus",Droneflies,Eristalis dimidiata,Eristalis_dimidiata.JPG,"""File:Eristalis dimidiatus.jpg""",Caromallo,CC BY-SA 3.0.,https://creativecommons.org/licenses/by-sa/3.0,https://en.wikipedia.org/wiki/Eristalis_dimidiata,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
hirtus",Droneflies,Eristalis hirta,Eristalis_tenax.JPG,"""Drone-fly (Eristalis tenax)""",Peter O'Connor aka anemoneprojectors,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Eristalis_hirta,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
obscurus",Droneflies,Eristalis obscura,Eristalis_obscura.JPG,"""File:Eristalis obscura 44512853.jpg""",Jimmy Dee,CC BY-SA 4.0.,https://creativecommons.org/licenses/by-sa/4.0,https://en.wikipedia.org/wiki/Eristalis_obscura,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
tenax",Droneflies,,Eristalis_tenax.JPG,"""Drone-fly (Eristalis tenax)""",Peter O'Connor aka anemoneprojectors,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Eristalis_tenax,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Eristalis
transversa",Droneflies,,Eristalis_transversa.JPG,"""Transverse Flower Fly - Eristalis transversa, Meadowood Farm SRMA, Mason Neck, Virginia""",Judy Gallagher,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eristalis_transversa,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A
"Erynnis
propertius",Duskywings,,Erynnis_propertius.JPG,"""DUSKYWING, PROPERTIUS (erynnis propertius) (4-12-08) fem, river rd, near santa margarita lake, slo co, ca""",Sloalan,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Erynnis_propertius,N/A,https://en.wikipedia.org/wiki/Duskywing,N/A
"Eucera
edwardsii",Long-horned bees,,Eucera_sp.JPG,"""Genus Eucera""",loarie,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eucera_edwardsii,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)",https://en.wikipedia.org/wiki/Eucera,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)"
"Eucera
frater",Long-horned bees,,Eucera_frater.JPG,"""Eucera frater""",loarie,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eucera_frater,http://www.beesofcanada.com/species/eucera-frater-lata,https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-frater-lata
"Eucera
fulvitarsis",Long-horned bees,,Eucera_fulvitarsis.JPG,"""Eucera fulvitarsis, M, Side, WY, Lincoln Co_2014-10-30-11.19""", Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Eucera_fulvitarsis,"http://www.beesofcanada.com/species/eucera-fulvitarsis-(cresson,-1878)",https://en.wikipedia.org/wiki/Eucera,"http://www.beesofcanada.com/species/eucera-fulvitarsis-(cresson,-1878)"
"Eucera
virgata",Long-horned bees,,Eucera_sp.JPG,"""Genus Eucera""",loarie,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eucera_virgata,http://www.beesofcanada.com/species/eucera-virgata-(cockerell-1905),https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-virgata-(cockerell-1905)
"Eumerus
narcissi",Hoverflies,,Eumerus_sp.JPG,"""Eumerus sp""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eumerus_narcissi,N/A,https://en.wikipedia.org/wiki/Eumerus,N/A
"Eupeodes
curtus",Hoverflies,,Eupeodes_sp.JPG,"""Syrphidae. Eupeodes (corollae?)""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eupeodes_curtus,N/A,https://en.wikipedia.org/wiki/Eupeodes,N/A
"Eupeodes
fumipennis/pomus",Hoverflies,,Eupeodes_sp.JPG,"""Syrphidae. Eupeodes (corollae?)""",gailhampshire,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eupeodes_fumipennis,N/A,https://en.wikipedia.org/wiki/Eupeodes,N/A
"Eupeodes
lapponicus",Hoverflies,,Eupeodes_lapponicus.JPG,"""File:Eupeodes lapponicus 01.JPG""",AfroBrazilian,CC BY-SA 4.0.,https://creativecommons.org/licenses/by-sa/4.0,https://en.wikipedia.org/wiki/Eupeodes_lapponicus,N/A,https://en.wikipedia.org/wiki/Eupeodes,N/A
"Eupeodes
latifasciatus",Hoverflies,,Eupeodes_latifasciatus.JPG,"""Eupeodes latifasciatus ♂, Parc de Woluwé, Bruxelles""",Frank.Vassen,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Eupeodes_latifasciatus,N/A,https://en.wikipedia.org/wiki/Eupeodes,N/A
"Eupeodes
volucris",Hoverflies,,Eupeodes_volucris.JPG,"""File:Eupeodes volucris 1611097.jpg""",Ken-ichi Ueda ,CC BY 4.0.,https://creativecommons.org/licenses/by/4.0,https://en.wikipedia.org/wiki/Eupeodes_volucris,N/A,https://en.wikipedia.org/wiki/Eupeodes,N/A
"Gymnosoma
fulginosa",Tachinid flies,,Gymnosoma_sp.JPG,"""File:Gymnosoma clavatum 04.JPG""",AfroBrazilian,CC BY-SA 4.0.,https://creativecommons.org/licenses/by-sa/4.0,https://en.wikipedia.org/wiki/Gymnosoma_fuliginosum,N/A,https://en.wikipedia.org/wiki/Gymnosoma,N/A
"Habropoda
cineraria",Mountain-diggers,,Habropoda_sp.JPG,"""Habropoda f""",JKehoe_Photos,CC BY-ND 2.0.,https://creativecommons.org/licenses/by-nd/2.0/,https://en.wikipedia.org/wiki/Habropoda_cineraria,"http://www.beesofcanada.com/species/habropoda-cineraria-(smith,-1879)",https://en.wikipedia.org/wiki/Habropoda,"http://www.beesofcanada.com/species/habropoda-cineraria-(smith,-1879)"
"Halictus
confusus",Sweat bees,,Halictus_confusus.JPG,"""Confusing Furrow Bee - Halictus confusus, Woodbridge, Virginia""",Judy Gallagher,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Halictus_confusus,http://www.beesofcanada.com/species/halictus-confusus,https://en.wikipedia.org/wiki/Halictus,http://www.beesofcanada.com/species/halictus-confusus
"Halictus
farinosus",Sweat bees,,Halictus_farinosus.JPG,"""Halictus_farinosus.JPG""",Sarah Johnson,N/A,N/A,https://en.wikipedia.org/wiki/Halictus_farinosus,http://www.beesofcanada.com/species/halictus-farinosus,https://en.wikipedia.org/wiki/Halictus,http://www.beesofcanada.com/species/halictus-farinosus
"Halictus
ligatus",Sweat bees,,Halictus_ligatus.JPG,"""Sweat bee (Halictus ligatus)""",insectsunlocked,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Halictus_ligatus,http://www.beesofcanada.com/species/halictus-ligatus,https://en.wikipedia.org/wiki/Halictus,http://www.beesofcanada.com/species/halictus-ligatus
"Halictus
rubicundus",Sweat bees,,Halictus_rubicundus.JPG,"""Sweat bee (Halictus rubicundus)""",insectsunlocked,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Halictus_rubicundus,http://www.beesofcanada.com/species/halictus-rubicundus,https://en.wikipedia.org/wiki/Halictus,http://www.beesofcanada.com/species/halictus-rubicundus
"Halictus
tripartitus",Sweat bees,,Halictus_tripartitus.JPG,"""Sweat Bee (Halictus tripartitus)""",insectsunlocked,CC0 1.0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Halictus_tripartitus,http://www.beesofcanada.com/species/halictus-tripartitus,https://en.wikipedia.org/wiki/Halictus,http://www.beesofcanada.com/species/halictus-tripartitus
"Helophilus
latifrons",Large hoverflies,,Helophilus_latifrons.JPG,"""File:Helophilus latifrons 45717952.jpg""",Quinten Wiegersma,CC BY 4.0.,https://creativecommons.org/licenses/by/4.0,https://en.wikipedia.org/wiki/Helophilus_latifrons,N/A,https://en.wikipedia.org/wiki/Helophilus,N/A
"Heriades
carinatus",Small black resin bees,,Heriades_carinatus.JPG,"""File:Heriades carinatus, F, Side, VA, Wolftrap 2013-06-26-17.16.06 ZS PMax.jpg""",Sam Droege,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Heriades_carinatus,http://www.beesofcanada.com/species/heriades-carinata,https://en.wikipedia.org/wiki/Heriades,http://www.beesofcanada.com/species/heriades-carinata
"Heriades
cressoni",Small black resin bees,,Heriades_sp.JPG,"""Bee - Heriades species, Coldstream, British Columbia""",Judy Gallagher,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Heriades_cressoni,http://www.beesofcanada.com/species/heriades-cressoni,https://en.wikipedia.org/wiki/Heriades,http://www.beesofcanada.com/species/heriades-cressoni
"Hoplitis
grinnelli",Hoplitis bees,,Hoplitis_sp.JPG,"""Hoplitis sp. (Megachilidae, Osmiini) enjoyes the sun heated surface of trash""",gbohne,CC BY-SA 2.0.,https://creativecommons.org/licenses/by-sa/2.0,https://en.wikipedia.org/wiki/Hoplitis_grinnelli,http://www.beesofcanada.com/species/hoplitis-grinnelli-septentrionalis,https://en.wikipedia.org/wiki/Hoplitis,http://www.beesofcanada.com/species/hoplitis-grinnelli-septentrionalis
"Hoplitis
sambuci",Hoplitis bees,,Hoplitis_sambuci.JPG,"""Hoplitis sambuci, m, left, Bray 2, CA_2019-03-22-11.08.24 ZS PMax UDR_1""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Hoplitis_sambuci,http://www.beesofcanada.com/species/hoplitis-sambuci,https://en.wikipedia.org/wiki/Hoplitis,http://www.beesofcanada.com/species/hoplitis-sambuci
"Hylaeus
basalis",Masked bees,,Hylaeus_basalis.JPG,"""Hylaeus basalis, F, Side, NY, Gravel Pits_2014-07-29-15.29""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Hylaeus_basalis,"http://www.beesofcanada.com/species/hylaeus-basalis-(smith,-1853)",https://en.wikipedia.org/wiki/Hylaeus_(bee),"http://www.beesofcanada.com/species/hylaeus-basalis-(smith,-1853)"
"Hylaeus
modestus",Masked bees,,Hylaeus_sp.JPG,"""Hylaeus sp, F, Side, Puerto Rico, Yauco_2015-01-30-14.48.33 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Hylaeus_modestus,http://www.beesofcanada.com/species/hylaeus-modestus-citrinifrons,https://en.wikipedia.org/wiki/Hylaeus_(bee),http://www.beesofcanada.com/species/hylaeus-modestus-citrinifrons
"Lasioglossum
albipenne",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""", patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Lasioglossum_albipenne,"http://www.beesofcanada.com/species/lasioglossum-albipenne-(robertson,-1890)",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-albipenne-(robertson,-1890)"
"Lasioglossum
athabascense",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""", patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/List_of_Lasioglossum_species,http://www.beesofcanada.com/species/lasioglossum-athabascense,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-athabascense
"Lasioglossum
brunneiventre",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""", patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Lasioglossum_brunneiventre,"http://www.beesofcanada.com/species/lasioglossum-brunneiventre-(crawford,-1907)",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-brunneiventre-(crawford,-1907)"
"Lasioglossum
cressonii",Sweat bees,,Lasioglossum_cressonii.JPG,"""Lasioglossum cressonii, f, side, Maine, Du Clos_2015-12-01-14.23""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_cressonii,"http://www.beesofcanada.com/species/lasioglossum-cressonii-(robertson,-1890)",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-cressonii-(robertson,-1890)"
"Lasioglossum
incompletum",Sweat bees,,Lasioglossum_incompletum.JPG,"""Lasioglossum incompletum, f, left, Pennington Co., SD_2018-08-15-18.11.59 ZS PMax UDR""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_incompletum,"http://www.beesofcanada.com/species/lasioglossum-incompletum-(crawford,-1907)",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-incompletum-(crawford,-1907)"
"Lasioglossum
knereri",Sweat bees,,Lasioglossum_knereri.JPG,"""Lasioglossum knereri, F, Side, WA, San Juan County_2014-05-09-19.16.28 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/List_of_Lasioglossum_species,"http://www.beesofcanada.com/species/lasioglossum-knereri-gibbs,-2010",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-knereri-gibbs,-2010"
"Lasioglossum
laevissimum",Sweat bees,,Lasioglossum_laevissimum.JPG,"""Lasioglossum laevissimum, F, side, Montana_2012-10-15-16.26.28 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_laevissimum,"http://www.beesofcanada.com/species/lasioglossum-laevissimum-(smith,-1853)",https://en.wikipedia.org/wiki/Lasioglossum,"http://www.beesofcanada.com/species/lasioglossum-laevissimum-(smith,-1853)"
"Lasioglossum
macroprosopum",Sweat bees,Lasioglossum macroprosopus,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""", patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/List_of_Lasioglossum_species,http://www.beesofcanada.com/species/lasioglossum-macroprosopum,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-macroprosopum
"Lasioglossum
nevadense",Sweat bees,,Lasioglossum_nevadense.JPG,"""Lasioglossum nevadense, F, Side, WA, San Juan County_2015-07-07-16.45.39 ZS PMax UDR""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_nevadense,http://www.beesofcanada.com/species/lasioglossum-nevadense,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-nevadense
"Lasioglossum
olympiae",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""",patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Lasioglossum_olympiae,http://www.beesofcanada.com/species/lasioglossum-olympiae,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-olympiae
"Lasioglossum
pacatum",Sweat bees,,Lasioglossum_pacatum.JPG,"""Lasioglossum pacatum, F, side, UT, Garfield County_2014-06-06-13.15""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_pacatum,http://www.beesofcanada.com/species/lasioglossum-pacatum,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-pacatum
"Lasioglossum
pacificum",Sweat bees,,Lasioglossum_pacificum.JPG,"""Lasioglossum pacificum, F, Side, WA, San Juan County_2014-05-30-16.25.21 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_pacificum,http://www.beesofcanada.com/species/lasioglossum-pacificum,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-pacificum
"Lasioglossum
planatum",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""",patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/List_of_Lasioglossum_species,http://www.beesofcanada.com/species/lasioglossum-planatum,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-planatum
"Lasioglossum
prasinogaster",Sweat bees,,Lasioglossum_prasinogaster.JPG,"""Lasioglossum prasinogaster, F, Side, WY, Lincoln County_2014-04-25-14.59.11 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/List_of_Lasioglossum_species,http://www.beesofcanada.com/species/lasioglossum-prasinogaster,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-prasinogaster
"Lasioglossum
pruinosum",Sweat bees,,Lasioglossum_pruinosum.JPG,"""Lasioglossum pruinosum, F, rt side, Sleeping Bear Dunes, Michigan_2012-10-17-10.52.34 ZS PMax""",Sam Droege,CC PDM 1.0.,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://en.wikipedia.org/wiki/Lasioglossum_pruinosum,http://www.beesofcanada.com/species/lasioglossum-pruinosum,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-pruinosum
"Lasioglossum
punctatoventre",Sweat bees,,Lasioglossum_sp.JPG,"""Small Metallic-banded bee - Lasioglossum sp?""", patrickkavanagh,CC BY 2.0.,https://creativecommons.org/licenses/by/2.0/,https://en.wikipedia.org/wiki/Lasioglossum_punctatoventre,http://www.beesofcanada.com/species/lasioglossum-punctatoventre,https://en.wikipedia.org/wiki/Lasioglossum,http://www.beesofcanada.com/species/lasioglossum-punctatoventre
