bee_sp,bee_common,Wikipedia,Canada_bee,Wikipedia_common,Canada_bee_common,picture_address
"Eriozona
erraticus",Hoverflies,https://en.wikipedia.org/wiki/Hoverfly,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eristalis
anthophorinus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_anthophorina,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
arbustorum",Droneflies,https://en.wikipedia.org/wiki/Eristalis_arbustorum,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
brousii",Droneflies,https://en.wikipedia.org/wiki/Eristalis_brousii,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
dimidiatus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_dimidiata,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
hirtus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_hirta,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
obscurus",Droneflies,https://en.wikipedia.org/wiki/Eristalis_obscura,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
tenax",Droneflies,https://en.wikipedia.org/wiki/Eristalis_tenax,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Eristalis
transversa",Droneflies,https://en.wikipedia.org/wiki/Eristalis_transversa,N/A,https://en.wikipedia.org/wiki/Eristalis,N/A,
"Erynnis
propertius",Duskywings,https://en.wikipedia.org/wiki/Erynnis_propertius,N/A,https://en.wikipedia.org/wiki/Coniopterygidae,N/A,
"Eucera
edwardsii",Long-horned bees,https://en.wikipedia.org/wiki/Eucera_edwardsii,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)",https://en.wikipedia.org/wiki/Eucera,"http://www.beesofcanada.com/species/eucera-edwardsii-(cresson,-1878)",
"Eucera
frater",Long-horned bees,https://en.wikipedia.org/wiki/Eucera_frater,http://www.beesofcanada.com/species/eucera-frater-lata,https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-frater-lata,
"Eucera
fulvitarsis",Long-horned bees,https://en.wikipedia.org/wiki/Eucera_fulvitarsis,"http://www.beesofcanada.com/species/eucera-fulvitarsis-(cresson,-1878)",https://en.wikipedia.org/wiki/Eucera,"http://www.beesofcanada.com/species/eucera-fulvitarsis-(cresson,-1878)",
"Eucera
virgata",Long-horned bees,https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-virgata-(cockerell-1905),https://en.wikipedia.org/wiki/Eucera,http://www.beesofcanada.com/species/eucera-virgata-(cockerell-1905),
"Eumerus
narcissi",Hoverflies,https://en.wikipedia.org/wiki/Eumerus_narcissi,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eupeodes
curtus",Hoverflies,https://en.wikipedia.org/wiki/Eupeodes_curtus,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eupeodes
fumipennis/pomus",Hoverflies,https://en.wikipedia.org/wiki/Eupeodes_fumipennis,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eupeodes
lapponicus",Hoverflies,https://en.wikipedia.org/wiki/Eupeodes_lapponicus,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eupeodes
latifasciatus",Hoverflies,https://en.wikipedia.org/wiki/Eupeodes_latifasciatus,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Eupeodes
volucris",Hoverflies,https://en.wikipedia.org/wiki/Eupeodes_volucris,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Gymnosoma
fulginosa",Tachinid flies,https://en.wikipedia.org/wiki/Tachinidae,N/A,https://en.wikipedia.org/wiki/Tachinidae,N/A,
"Habropoda
cineraria",Mountain-diggers,https://en.wikipedia.org/wiki/Habropoda_cineraria,"http://www.beesofcanada.com/species/habropoda-cineraria-(smith,-1879)",https://en.wikipedia.org/wiki/Anthophorini,"http://www.beesofcanada.com/species/habropoda-cineraria-(smith,-1879)",
"Halictus
confusus",Sweat bees,https://en.wikipedia.org/wiki/Halictus_confusus,http://www.beesofcanada.com/species/halictus-confusus,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/halictus-confusus,
"Halictus
farinosus",Sweat bees,https://en.wikipedia.org/wiki/Halictus_farinosus,http://www.beesofcanada.com/species/halictus-farinosus,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/halictus-farinosus,
"Halictus
ligatus",Sweat bees,https://en.wikipedia.org/wiki/Halictus_ligatus,http://www.beesofcanada.com/species/halictus-ligatus,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/halictus-ligatus,
"Halictus
rubicundus",Sweat bees,https://en.wikipedia.org/wiki/Halictus_rubicundus,http://www.beesofcanada.com/species/halictus-rubicundus,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/halictus-rubicundus,
"Halictus
tripartitus",Sweat bees,https://en.wikipedia.org/wiki/Halictus_tripartitus,http://www.beesofcanada.com/species/halictus-tripartitus,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/halictus-tripartitus,
"Helophilus
latifrons",Large hoverflies,https://en.wikipedia.org/wiki/Helophilus_latifrons,N/A,https://en.wikipedia.org/wiki/Helophilus,N/A,
"Heriades
carinatus",Small black resin bees,https://en.wikipedia.org/wiki/Heriades_carinatus,http://www.beesofcanada.com/species/heriades-carinata,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/heriades-carinata,
"Heriades
cressoni",Small black resin bees,https://en.wikipedia.org/wiki/Heriades_cressoni,http://www.beesofcanada.com/species/heriades-cressoni,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/heriades-cressoni,
"Hoplitis
grinnelli",Hoplitis bees,https://en.wikipedia.org/wiki/Hoplitis_grinnelli,http://www.beesofcanada.com/species/hoplitis-grinnelli-septentrionalis,https://en.wikipedia.org/wiki/Hoplitis,http://www.beesofcanada.com/species/hoplitis-grinnelli-septentrionalis,
"Hoplitis
sambuci",Hoplitis bees,https://en.wikipedia.org/wiki/Hoplitis_sambuci,http://www.beesofcanada.com/species/hoplitis-sambuci,https://en.wikipedia.org/wiki/Hoplitis,http://www.beesofcanada.com/species/hoplitis-sambuci,
"Hylaeus
basalis",Masked bees,https://en.wikipedia.org/wiki/Hylaeus_basalis,"http://www.beesofcanada.com/species/hylaeus-basalis-(smith,-1853)",https://en.wikipedia.org/wiki/Hylaeus_(bee),"http://www.beesofcanada.com/species/hylaeus-basalis-(smith,-1853)",
"Hylaeus
modestus",Masked bees,https://en.wikipedia.org/wiki/Hylaeus_modestus,http://www.beesofcanada.com/species/hylaeus-modestus-citrinifrons,https://en.wikipedia.org/wiki/Hylaeus_(bee),http://www.beesofcanada.com/species/hylaeus-modestus-citrinifrons,
"Lasioglossum
albipenne",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_albipenne,"http://www.beesofcanada.com/species/lasioglossum-albipenne-(robertson,-1890)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-albipenne-(robertson,-1890)",
"Lasioglossum
athabascense",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-athabascense,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-athabascense,
"Lasioglossum
brunneiventre",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-brunneiventre-(crawford,-1907)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-brunneiventre-(crawford,-1907)",
"Lasioglossum
cressonii",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_cressonii,"http://www.beesofcanada.com/species/lasioglossum-cressonii-(robertson,-1890)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-cressonii-(robertson,-1890)",
"Lasioglossum
incompletum",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-incompletum-(crawford,-1907)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-incompletum-(crawford,-1907)",
"Lasioglossum
knereri",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-knereri-gibbs,-2010",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-knereri-gibbs,-2010",
"Lasioglossum
laevissimum",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-laevissimum-(smith,-1853)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-laevissimum-(smith,-1853)",
"Lasioglossum
macroprosopum",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-macroprosopum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-macroprosopum,
"Lasioglossum
nevadense",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-nevadense,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-nevadense,
"Lasioglossum
olympiae",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_olympiae,http://www.beesofcanada.com/species/lasioglossum-olympiae,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-olympiae,
"Lasioglossum
pacatum",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-pacatum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-pacatum,
"Lasioglossum
pacificum",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_pacificum,http://www.beesofcanada.com/species/lasioglossum-pacificum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-pacificum,
"Lasioglossum
planatum",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-planatum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-planatum,
"Lasioglossum
prasinogaster",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-prasinogaster,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-prasinogaster,
"Lasioglossum
pruinosum",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_pruinosum,http://www.beesofcanada.com/species/lasioglossum-pruinosum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-pruinosum,
"Lasioglossum
punctatoventre",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-punctatoventre,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-punctatoventre,
"Lasioglossum
ruidosense",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-ruidosense,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-ruidosense,
"Lasioglossum
sagax",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-sagax,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-sagax,
"Lasioglossum
sedi",Sweat bees,https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-sedi-(sandhouse,-1924)",https://en.wikipedia.org/wiki/Halictidae,"http://www.beesofcanada.com/species/lasioglossum-sedi-(sandhouse,-1924)",
"Lasioglossum
sisymbrii",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_sisymbrii,http://www.beesofcanada.com/species/lasioglossum-sisymbrii,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-sisymbrii,
"Lasioglossum
titusi",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_titusi,http://www.beesofcanada.com/species/lasioglossum-titusi,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-titusi,
"Lasioglossum
villosulum",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_villosulum,N/A,https://en.wikipedia.org/wiki/Halictidae,N/A,
"Lasioglossum
zonulum",Sweat bees,https://en.wikipedia.org/wiki/Lasioglossum_zonulum,http://www.beesofcanada.com/species/lasioglossum-zonulum,https://en.wikipedia.org/wiki/Halictidae,http://www.beesofcanada.com/species/lasioglossum-zonulum,
"Leptura
chrysocoma",Longhorn beetle,https://en.wikipedia.org/wiki/Longhorn_beetle,N/A,https://en.wikipedia.org/wiki/Longhorn_beetle,N/A,
"Lucilia
illustris",Green bottle flies,https://en.wikipedia.org/wiki/Lucilia_illustris,N/A,https://en.wikipedia.org/wiki/Green_bottle_fly,N/A,
"Lucilia
sericata",Green bottle flies,https://en.wikipedia.org/wiki/Common_green_bottle_fly,N/A,https://en.wikipedia.org/wiki/Green_bottle_fly,N/A,
"Megachile
brevis",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_brevis,http://www.beesofcanada.com/species/megachile-brevis,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-brevis,
"Megachile
frigida",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_frigida,http://www.beesofcanada.com/species/megachile-frigida-frigida,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-frigida-frigida,
"Megachile
gemula",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_gemula,http://www.beesofcanada.com/species/megachile-gemula,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-gemula,
"Megachile
melanophaea",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_melanophaea,http://www.beesofcanada.com/species/megachile-melanophaea,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-melanophaea,
"Megachile
perihirta",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_perihirta,http://www.beesofcanada.com/species/megachile-perihirta,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-perihirta,
"Megachile
relativa",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_relativa,http://www.beesofcanada.com/species/megachile-relativa,https://en.wikipedia.org/wiki/Megachilidae,http://www.beesofcanada.com/species/megachile-relativa,
"Megachile
rotundata",Leafcutter bees,https://en.wikipedia.org/wiki/Megachile_rotundata,"http://www.beesofcanada.com/species/megachile-rotundata-(fabricius,-1787)",https://en.wikipedia.org/wiki/Megachilidae,"http://www.beesofcanada.com/species/megachile-rotundata-(fabricius,-1787)",
"Melanostoma
mellinum",Hoverflies,https://en.wikipedia.org/wiki/Melanostoma_mellinum,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Melecta
thoracica",Digger-cuckoo bees,https://en.wikipedia.org/wiki/Melecta,"http://www.beesofcanada.com/species/melecta-thoracica-cresson,-1875",https://en.wikipedia.org/wiki/Melecta,"http://www.beesofcanada.com/species/melecta-thoracica-cresson,-1875",
"Meliscaeva
cinctella",Hoverflies,https://en.wikipedia.org/wiki/Meliscaeva_cinctella,N/A,https://en.wikipedia.org/wiki/Hoverfly,N/A,
"Melissodes
microsticta",Long-horned bees,https://en.wikipedia.org/wiki/Melissodes_microsticta,http://www.beesofcanada.com/species/melissodes-microsticta,https://en.wikipedia.org/wiki/Eucerini,http://www.beesofcanada.com/species/melissodes-microsticta,
"Merodon
equestris",Bulb fly,https://en.wikipedia.org/wiki/Merodon_equestris,N/A,https://en.wikipedia.org/wiki/Merodon,N/A,
"Mischocyttarus
flavitarsis",Mischocyttarus wasps,https://en.wikipedia.org/wiki/Mischocyttarus_flavitarsis,N/A,https://en.wikipedia.org/wiki/Mischocyttarus,N/A,
"Neorhynchocephalus
sackenii",Tangle-veined flies,https://en.wikipedia.org/wiki/Neorhynchocephalus_sackenii,N/A,https://en.wikipedia.org/wiki/Mischocyttarus_flavitarsis,N/A,
"Osmia
albolateralis",Mason bees,https://en.wikipedia.org/wiki/Osmia_albolateralis,"http://www.beesofcanada.com/species/osmia-albolateralis-cockerell,-1906",https://en.wikipedia.org/wiki/Mason_bee,"http://www.beesofcanada.com/species/osmia-albolateralis-cockerell,-1906",
"Osmia
atrocyanea",Mason bees,https://en.wikipedia.org/wiki/Osmia_atrocyanea,http://www.beesofcanada.com/species/osmia-atrocyanea,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-atrocyanea,
"Osmia
bakeri",Mason bees,https://en.wikipedia.org/wiki/Osmia_bakeri,N/A,https://en.wikipedia.org/wiki/Mason_bee,N/A,
"Osmia
bucephala",Mason bees,https://en.wikipedia.org/wiki/Osmia_bucephala,http://www.beesofcanada.com/species/osmia-bucephala,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-bucephala,
"Osmia
caerulescens",Mason bees,https://en.wikipedia.org/wiki/Osmia_caerulescens,http://www.beesofcanada.com/species/osmia-caerulescens-caerulescens,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-caerulescens-caerulescens,
"Osmia
californica",Mason bees,https://en.wikipedia.org/wiki/Osmia_californica,http://www.beesofcanada.com/species/osmia-californica,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-californica,
"Osmia
coloradensis",Mason bees,https://en.wikipedia.org/wiki/Osmia_coloradensis,http://www.beesofcanada.com/species/osmia-coloradensis,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-coloradensis,
"Osmia
cyanella",Mason bees,https://en.wikipedia.org/wiki/Osmia_cyanella,http://www.beesofcanada.com/species/osmia-cyanella,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-cyanella,
"Osmia
densa",Mason bees,https://en.wikipedia.org/wiki/Osmia_densa,http://www.beesofcanada.com/species/osmia-densa-densa,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-densa-densa,
"Osmia
dolerosa",Mason bees,https://en.wikipedia.org/wiki/Osmia_dolerosa,http://www.beesofcanada.com/species/osmia-dolerosa,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-dolerosa,
"Osmia
gabrielis",Mason bees,https://en.wikipedia.org/wiki/Osmia_gabrielis,"http://www.beesofcanada.com/species/osmia-gabrielis-cockerell,-1910",https://en.wikipedia.org/wiki/Mason_bee,"http://www.beesofcanada.com/species/osmia-gabrielis-cockerell,-1910",
"Osmia
kincaidii",Mason bees,https://en.wikipedia.org/wiki/Osmia_kincaidii,http://www.beesofcanada.com/species/osmia-kincaidii,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-kincaidii,
"Osmia
lignaria",Mason bees,https://en.wikipedia.org/wiki/Osmia_lignaria,http://www.beesofcanada.com/species/osmia-lignaria-propinqua,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-lignaria-propinqua,
"Osmia
malina",Mason bees,https://en.wikipedia.org/wiki/Osmia_malina,http://www.beesofcanada.com/species/osmia-malina,https://en.wikipedia.org/wiki/Mason_bee,http://www.beesofcanada.com/species/osmia-malina,
