plant_sp,plant_common,New_genus,Wikipedia,pacific north west consortium,Wikipedia_common,pacific north west consortium_common,Invasive_non_invasive,Drought_tolerant,Hardinesss_zone
"Mahonia
nervosa",Oregon grape,,https://en.wikipedia.org/wiki/Mahonia_nervosa,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Mahonia&Species1=nervosa&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Mahonia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Mahonia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive ,Fresh moist,Zone 6
Malus,Apples,,https://en.wikipedia.org/wiki/Apple,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Malus&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Malus,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Malus&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Malus
fusca",Apples,,https://en.wikipedia.org/wiki/Malus_fusca,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Malus&Species1=fusca&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Malus,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Malus&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,Moist wet,Zone 5
"Marah
oreganus",Oregon manroot,,https://en.wikipedia.org/wiki/Marah_oreganus,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Marah&Species1=oreganus&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Marah_(plant),https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Marah&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Medicago
lupulina",Medics,,https://en.wikipedia.org/wiki/Medicago_lupulina,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Medicago&Species1=lupulina&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Medicago,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Medicago&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Melilotus
alba",Sweet clovers,,https://en.wikipedia.org/wiki/Melilotus_albus,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=melilotus&Species1=alba&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Melilotus,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=melilotus&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Invasive,,
Mentha,Mint,,https://en.wikipedia.org/wiki/Mentha,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=mentha&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Mentha,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=mentha&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Certain species,,
"Mertensia
longiflora",Small bluebells,,https://en.wikipedia.org/wiki/Mertensia_longiflora,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Mertensia&Species1=longiflora&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Mertensia,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Mertensia&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Mimulus
alsinoides",Monkey flowers,Erythranthe alsinoides,https://en.wikipedia.org/wiki/Erythranthe_alsinoides,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Mimulus&Species1=alsinoides&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Erythranthe,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Erythranthe%20&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
"Mimulus
guttatus",Monkey flowers,Erythranthe guttata,https://en.wikipedia.org/wiki/Erythranthe_guttata,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Erythranthe%20&Species1=guttata&IncludeSynonyms1=Y&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,https://en.wikipedia.org/wiki/Erythranthe,https://www.pnwherbaria.org/data/results.php?DisplayAs=WebPage&ExcludeCultivated=Y&GroupBy=ScientificName&SortBy=Year&SortOrder=DESC&SearchAllHerbaria=Y&QueryCount=1&Genus1=Erythranthe%20&IncludeSynonyms1=Y&Country1=Canada&Zoom=4&Lat=55&Lng=-135&PolygonCount=0,Non-invasive,,
