Sisymbrium,Mustard
Sisyrinchium,Blue-eyed grasses
Smilacina,Star-flowered lily-of-the-valley
Solidago,Goldenrods
Sonchus,Sow thistles
Sorbus,Mountain ashes
Spergularia,Sandspurrys
Spiraea,Meadowsweets
Stachys,Hedgenettles
Stellaria,Chickweeds
Styrax,Snowbell
Symphoricarpos,Snowberry
Symphytum,Common comfrey
Syringa,Lilac
Tageta,French marigold
Tanacetum,Tansy
Taraxacum,Dandelion
Tellima,Fringe cups
Thymus,Thymes
Trifolium,Clover
Triteleia,Triplet lilies
Vaccinium,Blueberry
Verbena,Vervains
Veronica,Speedwells
Viburnum,Snowball bush
Vicia,Vetch
Vinca,Periwinkle
Viola,Violet
Weigela,Weigela
Wisteria,Wisteria
Zygadenus,Death camas
